_id,YIL,AY,FAALIYET_TURU,ADET
1,2020,1,Muayene Edilen,916
2,2020,2,Muayene Edilen,787
3,2020,3,Muayene Edilen,821
4,2020,4,Muayene Edilen,825
5,2020,5,Muayene Edilen,750
6,2020,6,Muayene Edilen,1125
7,2020,7,Muayene Edilen,948
8,2020,8,Muayene Edilen,858
9,2020,9,Muayene Edilen,535
10,2020,10,Muayene Edilen,864
11,2020,11,Muayene Edilen,932
12,2020,12,Muayene Edilen,903
13,2021,1,Muayene Edilen,1022
14,2021,2,Muayene Edilen,899
15,2021,3,Muayene Edilen,1035
16,2021,4,Muayene Edilen,872
